Country Name,Country Code,Series Name,Series Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010]
Afghanistan,AFG,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,20.3293984704435,23.9968513652007,50.3149355713501,44.0735112665762,50.6072915626901
Albania,ALB,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,..,..,..,..,30.5639959911333,31.3585930597417,24.4690828109684,33.3862805253484,..,..,..,..,24.3447093485731,22.3616142522594,22.3882687198779,..,..,..,..,..,..
Algeria,DZA,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,..,..,..,..,25.2399596468148,24.1788903943644,22.3733851513275,23.795231317264,23.4536292546845,23.9236480601209,20.7636744802168,22.7956993853578,24.2705065239906,21.7821030981293,20.902530638087,17.097390585623,19.1900716397973,21.0130854325329,23.2397583278814,25.6509202570927,24.4705363524212
American Samoa,ASM,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Angola,AGO,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..,19.6524460019801,21.8300194095745,29.0157756429379,25.8356433313971,32.5187868711535,19.3605773684441,27.2702447349974,23.8564602903463,22.4825262071847,23.5451454395421,23.748992890748,26.0623754955276
Antigua and Barbuda,ATG,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..,..,22.5665531164751,23.0986910566226,25.2654893149862,21.9329871883926,22.8001641351842,20.9167134097793,22.319691321806,21.5346454584271,21.0637435144976,23.9995215772349,22.0561041934922
Argentina,ARG,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Armenia,ARM,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,16.9559988456693,18.1464405215631,17.1482192993136,17.0424253804612,21.1396851697465,23.8619179943921,22.9973623470093
Aruba,ABW,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Australia,AUS,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,23.8102780101266,24.9352120824946,26.2265119039456,26.3721709672769,..,..,..,..,25.8808280913707,24.5637596877353,24.0996294995823,26.3609563526894,26.4756008855995,25.8619742231991,25.699879372178,25.6412370149979,24.943711191799,24.4989112167682,24.3352595758192,26.4996316924111,26.7900835674358
Austria,AUT,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,38.7341740198845,38.8624891014553,40.131499184308,40.7019613720857,51.0542203895883,50.5023291083775,49.2467499667138,49.2710996057133,49.0413356728671,46.7061498341865,46.3547507337376,46.7077727286606,46.0613828428434,46.2081064079737,48.7760295831532,46.1044606076655,45.4145145190222,44.2295153858776,44.8508563976501,48.1547956737304,46.622355347006
Azerbaijan,AZE,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,..,..,..,407.871684852497,112.915217197514,20.2440622363858,18.7481556297207,20.445514647213,20.8575547430405,19.0096421797684,..,..,..,..,..,..,..,..,18.5077683545439,23.0788028594301,20.8724832214765
